nama_satker,status_umumkan_rup,asal_dana,jenis_klpd,asal_dana_satker,kd_kegiatan,kd_satker_str,tahun_anggaran_dana,kd_subkegiatan,jenis_dana_apbn,kd_komponen,kd_rup_lokal,id_paket_anggaran_penyedia,kd_klpd,status_aktif_rup,tahun_anggaran,asal_dana_klpd,pagu,sumber_dana,kd_rup,mak,nama_klpd,kd_satker,status_delete_rup,last_update_ref
DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,Terumumkan,K34,KEMENTERIAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,13668982,451270,2026,,PNBP,5228568,,593209475,K34,true,2026,Kementerian Ketenagakerjaan,5000000,APBN,66258194,DN.5586.PEF.001.051.0A.521211,Kementerian Ketenagakerjaan,14076,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas,Terumumkan,K34,KEMENTERIAN,Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas,13623329,451026,2026,,PNBP,5174010,,592404741,K34,true,2026,Kementerian Ketenagakerjaan,3750000,APBN,66092110,DL.4060.PFA.001.051.0A.521211,Kementerian Ketenagakerjaan,177670,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,13622151,021212,2026,,RUPIAH MURNI,5171856,,602367658,K34,true,2026,Kementerian Ketenagakerjaan,6045200000,APBN,67700172,DL.4057.SCO.003.053.OZ.521211,Kementerian Ketenagakerjaan,94422,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA KETENAGAKERJAAN,Terumumkan,K34,KEMENTERIAN,PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA KETENAGAKERJAAN,13650916,450990,2026,,PNBP,5202979,,591612083,K34,true,2026,Kementerian Ketenagakerjaan,150000,APBN,65935366,WA.2165.EBC.996.052.0I.521211,Kementerian Ketenagakerjaan,14060,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,13663270,452542,2026,,PNBP,5219575,,582312069,K34,true,2026,Kementerian Ketenagakerjaan,44800000,APBN,63633231,DL.4057.SCO.008.052.0A.521211,Kementerian Ketenagakerjaan,14110,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS PANGKEP,Terumumkan,K34,KEMENTERIAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS PANGKEP,13790841,352630,2026,,RUPIAH MURNI,5287859,,582010993,K34,true,2026,Kementerian Ketenagakerjaan,16584000,APBN,63545072,DL.4057.SCO.007.052.0A.521211,Kementerian Ketenagakerjaan,165839,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
SEKRETARIAT JENDERAL KEMNAKER,Terumumkan,K34,KEMENTERIAN,SEKRETARIAT JENDERAL KEMNAKER,13599602,450938,2026,,PNBP,5136487,,592330052,K34,true,2026,Kementerian Ketenagakerjaan,9720000,APBN,66074438,WA.2159.EBC.954.053.0B.521211,Kementerian Ketenagakerjaan,14054,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Surakarta,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Surakarta,13587250,035636,2026,,RUPIAH MURNI,5108561,,576195551,K34,true,2026,Kementerian Ketenagakerjaan,203880000,APBN,62084676,WA.6988.EBA.994.002.0A.521111,Kementerian Ketenagakerjaan,14114,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,13680526,452609,2026,,RUPIAH MURNI,5244796,,578973059,K34,true,2026,Kementerian Ketenagakerjaan,900000,APBN,62761624,DL.4057.SCO.011.051.0B.521211,Kementerian Ketenagakerjaan,141978,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Belitung,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Belitung,13590437,352631,2026,,PNBP,5118492,,594214575,K34,true,2026,Kementerian Ketenagakerjaan,23500000,APBN,66441383,DL.4057.SCO.005.052.0A.521211,Kementerian Ketenagakerjaan,162854,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
