kd_klpd;nama_klpd;jenis_klpd;kd_satker;kd_satker_str;nama_satker
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14107;451072;DIREKTORAT PRODUKTIVITAS DAN KEWIRAUSAHAAN DITJEN BINALATTAS KEMENAKER
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14108;452533;Sekretariat Badan Nasional Sertifikasi Profesi
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14109;452570;BALAI BESAR PENGEMBANGAN LATIHAN KETRANSMIGRASIAN
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14110;452542;Balai Besar Pelatihan Vokasi dan Produktivitas Bandung
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14111;452558;Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14112;452564;BB PENINGKATAN PRODUKTIVITAS
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14113;452609;BBPLK SEMARANG
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14114;35636;Balai Pelatihan Vokasi dan Produktivitas Surakarta
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14115;522625;BALAI BESAR LATIHAN KETRANSMIGRASIAN  YOGYAKARTA
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14116;65106;Balai Pelatihan Vokasi dan Produktivitas Banda Aceh
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14117;498768;BLK KAB SAMOSIR
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14118;451094;Balai Besar Pelatihan Vokasi dan Produktivitas Medan
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14119;89378;Balai Pelatihan Vokasi dan Produktivitas Padang
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14120;522671;BALAI LATIHAN TRANSMIGRASI PEKANBARU
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14121;522721;BALAI LATIHAN TRANSMIGRASI BANJARMASIN
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14122;451108;Balai Pelatihan Vokasi dan Produktivitas Samarinda
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14123;452652;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14124;522760;BALAI LATIHAN TRANSMIGRASI MAKASSAR
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14125;195326;UPTD LLK DAN LBK KOTA PALOPO
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14126;209253;BPP KENDARI
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14127;209255;Balai Pelatihan Vokasi dan Produktivitas Kendari
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14128;522798;BALAI LATIHAN TRANSMIGRASI DENPASAR
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14129;452595;Balai Pelatihan Vokasi dan Produktivitas Ternate
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14130;426531;Balai Besar Pelatihan Vokasi dan Produktivitas Serang
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14131;452589;Balai Pelatihan Vokasi dan Produktivitas Sorong
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;65761;209058;DINAS TENAGA KERJA DAN TRANSMIGRASI KONAWE UTARA
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;70990;109059;DINAS SOSIAL TENAGA KERJA DAN TRANSMIGRASI MUARO JAMBI
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;74191;319039;DINAS TENAGA KERJA DAN TRANSMIGRASI KAB. GORONTALO
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;82592;200472;DINAS TENAGA KERJA DAN TRANSMIGRASI KAB. KOLAKA - SULTERA
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;82643;219228;Balai Pelatihan Vokasi dan Produktivitas Ambon
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;83711;189048;DINAS TENAGA KERJA DAN TRANSMIGRASI KABUPATEN DONGGALA
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;88422;149212;DINAS TENAGA KERJA DAN TRANSMIGRASI KALIMANTAN TENGAH
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;90734;149075;DINAS TRANSMIGRASI KABUPATEN KAPUAS
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;92168;350079;BALAI K3 BANDUNG
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;94422;21212;Balai Pelatihan Vokasi dan Produktivitas Bandung Barat
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;94650;230302;Balai Pelatihan Vokasi dan Produktivitas Lombok Timur
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;94797;350082;Balai Keselamatan dan Kesehatan Kerja Makassar
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;95119;191206;Balai Pelatihan Vokasi dan Produktivitas Bantaeng
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;101569;350084;Balai Besar Keselamatan dan Kesehatan Kerja Jakarta
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;102109;350085;DIREKTORAT JAMINAN SOSIAL TENAGA KERJA
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;107341;350078;DIREKTORAT BINA KESELAMATAN DAN KESEHATAN KERJA
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;141303;451057;DIREKTORAT BINA KELEMBAGAAN PELATIHAN DITJEN BINALATTAS KEMNAKER
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;141385;426531;BALAI BESAR PENGEMBANGAN LATIHAN KERJA SERANG
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;141842;451310;Ditjen. Pembinaan Hubungan Industrial dan Jaminan Sosial Ketanagakerjaan
