status;order_id;rup_code;flag_minikom;product_id;total_qty;nama_satker;rup_name;kode_penyedia;funding_source;rup_desc;shipping_fee;fiscal_year;shipment_status;mak;total;rekan_id;order_date;count_product;kode_satker;kode_klpd;last_update_ref
CANCELLED_ON_REVIEW;01KRG56TZ6QXSABAM483DR5P75;66117381;Tidak;7907e2ff-0cb3-4d2d-9a39-a2e0f7301fa3;40;DIREKTORAT BINA PERLUASAN KESEMPATAN KERJA;Belanja Jasa Lainnya - Persiapan Pelaksanaan Program Perluasan Kesempatan Kerja Bidang Tenaga Kerja Mandiri;01JBY93PFF67PZKX4A22Z15V9M;APBN;Perluasan Kesempatan Kerja, ;;2026;DRAFT;DN.2175.BDC.003.051.0A.522191;289138040;5757127;;1;626041;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
CANCELLED_ON_NEGOTIATION;01KR0D075WXHWQTFJGY0VTG47A;65868426;Tidak;bc0f8bb8-0a70-4ab6-a3cb-cf5608e4959a;10;BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS PADANG;6988.EBA.994.002.J.522191.001057 Jasa Alih Daya Satpel Jambi;01KCT9QZYDTNAMGMAHS5W5EH38;APBN;Dukungan Manajemen Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas, ;;2026;DRAFT;WA.6988.EBA.994.002.0J.522191;56500000;0;;1;089378;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
COMPLETED;01KJYE9E25PYB4B1ZFJ7YCPMTA;65956099;Tidak;8147f9f8-ae26-413f-bfdf-f30b01f6a3a2, 54a70c70-8540-4da5-b39b-d9c2b0520aa7, a48845ac-b141-4298-8173-f4d9c48d0735, 36fdc37c-c92a-45cb-a938-52e12c32e6fd, e95cd575-837f-4f37-9f79-e0f0b2e7b9c5, dace7db4-1477-4b30-a930-46ea79f83752, 87c9ab4a-b578-4184-9235-fba9e59c92d3, 124bdbf7-dbaf-48b1-8659-da6daee867f6, f5b78a4e-dfd3-4ddc-90df-83eca9a7e72c, 594f49ff-6d56-40d4-ac3b-d15aa4df5094, 804be849-b671-4974-8dd0-94f83095431b, 1aa9cbc7-4d1e-4703-a990-c47d4a1c9b97, 8a3f5ad4-f853-47eb-9926-85ab00242f7f, e3032308-ba54-4fa9-b1cd-ab82057593e6, 22da6e27-4e7c-4d02-8a5a-4e5a67f1daa4, 37780655-05b7-4cab-9fe7-49c9727939de, d2174cb1-01e7-4d13-8256-29f3191bde07, 69f6768e-7b9c-4813-8404-fc75a482600a, adc89d44-7c17-46f4-a67d-a6a8f7429d9e, 1ca9b398-9048-4841-a58f-cc2ffd68f66e, 9a0ea854-579c-46a8-b0d0-58ffeb20df30, 0d7525fb-9b17-4e3e-ae7e-10cf788c9e46, af05271b-b7eb-41fb-a74d-1c2491fdba42, d5ae4527-7138-46fe-966b-9b445144d12f, 3a07a5de-f7f4-46dd-8864-82e10654f273, b429c352-19b7-43b6-a6b9-658b71fa03bd, ed85ced9-da8e-4a21-983c-9de337b294ac, b9b720be-0ad6-477b-a944-241f2932e6a1, 51788880-69d9-450b-a5b4-dbb1a7207c7a, 4c83ff23-a80f-4923-94f2-b47bba42cb6b, 17a8d5f9-8d8e-4e1c-bb59-d30aeeadd6a3, fd26befa-f3f5-47f0-8ef0-478d0240db00, 5daf0161-ade5-428c-a569-2b268c4bdfc5, 1b8c8332-de27-42f4-83bc-e3c8600165b8, 96b6350d-a5b8-4465-855c-018b3cbd2cd5, 724cea9d-da05-4784-8896-e6dd172f0d93, 3d255773-62fb-4f8b-8d0e-36930c0d6ad9, b2c815a0-cdf1-4c92-91e8-362eed1d656e, 6941a3c1-42d3-4e52-8da0-afab05104e99, 50dd71d7-48b3-40a8-b6a1-f00c38950794, f5e48089-0611-4eb0-b8da-2ad8faf4954e, e59129f8-edcb-439f-a671-9eca4f3ab2ba, 96762063-e32b-46a6-9837-745f813ef0bc, 066b1d0b-8ce9-4fd9-ba6b-a1507a614207;738;BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG;Belanja Bahan Pelatihan Vokasi Bidang Industri dan Jasa Reguler;01JY61XM4G13MY1MYNDAVFQ9B1;APBN;Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ;0;2026;COMPLETED;DL.4057.SCO.003.052.0A.521211;32692164;0;2026-03-05T00:00:00Z;44;452609;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
ON_NEGOTIATION;01KVZEG71RABNZVV9MT4067WXE;62259089;Tidak;c30b48d9-61c6-43e8-8487-1f3cd0883114;48;BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANYUWANGI;Pelatihan Vokasi di Provinsi Jawa Timur UPT BLK Jember;01JV9JF9DJ1EQPNGXE1XE25X0J;APBN;Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ;0;2026;DRAFT;DL.4057.SCO.013.053.OA.521211;5434560;0;;1;051102;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
COMPLETED;01KN148WXR6EXFJ9C31MVTHRWB;66185662;Tidak;bd71b4db-03aa-4109-b983-203426bb9fae, 76a0766c-3528-49dd-8f0c-64456c86405d, c7ae8fef-4599-474c-b659-7c5c9ff95f0a, c712becd-83f8-4984-8ada-99227c70203f, 8f98a452-89ae-445c-ab8a-8afc866df28b, 7f4645f3-1659-420c-be85-c5a859904870, 5dbecf76-1bc7-4863-9349-c11725c2013d, 42690485-1b59-4061-8492-232d9375d550, 79f26e21-4997-42ba-bced-317b4dfd642d;330;BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG;Belanja Bahan Pelaksanaan Sertifikasi Lulusan Pelatihan Vokasi (PNP);01JYDESZTP0YA22FBCZT8CDSRE;APBN;Pengembangan Sistem dan Pelaksanaan Sertifikasi Kompetensi Profesi Binalavotas, ;0;2026;COMPLETED;DL.4053.PDI.002.051.0A.521211;6567093;0;2026-04-01T00:00:00Z;9;452609;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
ON_PROCESS;01KMHZMJXCRFPWSP840VVAY1MY;65135780;Tidak;479f3c40-4d3a-4626-8f27-d0b85961a1df;40;SEKRETARIAT JENDERAL KEMNAKER;Sosialisasi Ketenagakerjaan di Media;01JHMK6ZDKQVQEZGJW1FM4FTA4;APBN;Peningkatan dan Pengelolaan Hubungan Masyarakat, ;0;2026;DRAFT;WA.2163.EBA.958.054.0A.522191;239937600;480683;2026-03-25T00:00:00Z;1;450938;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
COMPLETED;01KK86SQG6BRE5RV4GCZ3FWCT0;66212079;Tidak;4532cfb8-5736-4890-af64-06b5a172a646, 283c298b-18ed-450e-ab52-8486099dbdcf, 97543e46-424b-438e-8b2d-9a08f84d317e, a2b38742-9c60-4fa7-af99-aa51bf1b1c8e, aea9d96d-1e2d-4136-918e-483093964a1f, 85bd718d-1fa0-4003-b0ac-2585329a267b, 6c9207c9-f3a2-40a0-94f0-c8b044bbbdf4, f0d1aaf3-280a-423d-9c9e-7fe663a3d76d, 31912f50-d4b8-440f-a416-77201ea2ef9e, 0439188a-2e31-4ef6-8946-311cd8580520, 55991d94-fcc1-4f09-87c4-863caea74dce, 8b273d2d-1fa7-4046-97d2-8e73f4c8152b, 86c9d5b8-64b2-4493-9c4c-01592538909d, a6b9377e-0327-41cd-971d-ddaf021f6daf, 00f702b5-5117-4ccd-a8e5-413b3550cded, 5fbd5b2b-37a0-413b-b756-de22f7b7d763, 3d78e95b-bfaa-4a3e-8aa0-fbf3f2e45917, 108ecbfa-2b2a-4991-b65e-a2b28da169b3, eeccbe2c-33d7-4bfd-8e6b-73b76cef9c17, f20905fb-ab10-458b-b602-bbaabcc22385, fdb1bafa-b7f6-4dec-8b7c-db4756c41795, 4ef7a537-b4cf-4f61-9fe2-31201a4be24b, b305986a-2ca7-4639-b1d5-e9cfdfe2fc07, d4926820-e2de-4d3a-911a-2414880741c8, 5ab39840-82b3-4d1e-999d-045d9b205380, 9b95865e-5db4-4ece-88ac-9347f7dfa481, 93f40cac-4484-4a0a-8781-d52ef67dbd00, 4a1ca058-073c-4f91-b470-a550aa7fbe47, a7119238-76c0-430d-a7a2-86817e26061a, 1d323f61-fc32-4b76-9cb3-e080d33b9900, 80b115d1-9779-4d3b-83d0-6aec50d4bef3, b88b2dea-9994-4e43-9c14-7b8c6becdc7a, 6da924e2-fab1-402d-8bca-228f355e31f6, aa52988a-cf85-4f0a-a98e-bbc7a74fddba, 25c372c8-c32f-4b05-b070-b8fc956c2ccf, 9eb215a9-0693-4143-aba7-217209f62eb5, dacb1ac5-18a0-47bb-83e8-d1a8c74a9689, 5a5b3f9f-3269-4781-a2af-51d0b6f8e20a, b5204e02-0b2d-4e68-933b-b0874f9348f9, 28a5a538-f330-4d2a-99af-f5242d7fcfa0;362;BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS BANDUNG;ATK dan Komputer Supllies Bidang dan Kejuruan;01JHSSH76S3PTRW26C3E7A19B8;APBN;Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ;0;2026;COMPLETED;DL.4057.SCO.003.074.0A.521211;6164812;22695014;2026-03-09T00:00:00Z;44;452542;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
COMPLETED;01KKDRA79BJRWPEY7RR061HSXD;66342568;Tidak;9f72aa28-160c-4542-a798-229571c8c7fa, 231b7930-46bc-451e-a009-f3ef38bf8861, 9caa512b-3143-48d5-80f0-dbcb838a72ba, 87f6a325-81e7-42e3-933c-ba3673c66be3, fb6b52bc-551e-4f0d-a79c-677b653d4ede, 998c0458-dbfc-449e-9ed1-f87155d44f87, ccfae6ba-52e2-42ec-8ba1-90e318e52700, 725ea78b-03d5-40fb-92e0-5a080d03649b, b2d072b2-d33a-4f0e-b4f8-49d3b9c0acca, edef1e67-2506-4ecb-9574-c420103660ba, ece9a168-1a9a-4c62-9f1a-d88bcb6041ac, 3f59e580-b457-4792-82fb-303cba3b6018, 56bab1cb-3649-4527-a091-4895a403829f, 704f8dc9-6858-4baf-b454-89cd992dcd5c, ee4fb738-9785-4a6e-85fd-d5aab93006ee, 540ab342-283c-4b4a-ad42-06d661e7c6d4, 55eb755c-5b94-4822-baff-4220513c3f58, 33637491-733f-47a0-8f5f-3aadba67cfc3, 4ebdc6b4-a5c7-4358-b36d-94bd9be28817, ab5ad1f9-724a-4020-969e-a9c43e728713, 811d11e7-a322-4ef6-8914-3763e6ef7d41, ab493927-7ad8-4a25-b637-475a3667732f, 669e17ea-6e79-4da6-992a-0210b2dc05ad, 9cf8544d-6241-45f7-bb57-b27e07de2e59, 1a8d68bf-a76c-4f52-8497-cb1972d23217, 29e8533e-01cc-4ef7-9f11-55bab02ec5dc, 5c0f94b6-93d2-4bcc-be82-f195c276fc0c, 2349508f-8c21-4ded-b466-196fe33c97e4, cf58a2af-c9bb-4e61-b94d-838d78aa8235, d0ed76ba-0442-4db3-b266-7cc97b2bc1be, 8e7496d3-1744-45b2-b261-830ca2deb0bf, 99a8d3c8-94b9-4ce7-b533-80c789626e64, 0de6d5cc-66c3-4540-aeb4-f567c5197116, 59a4681a-7ba5-4b85-93ab-6293c2d778de, 42f4009d-6ae6-4cfd-84f0-042e379577fa, 13e41781-a3aa-4ec0-8553-ebd621c0470f, e1ef4685-f35e-4a65-b5a4-0e01c9d2bff9, 20ea874b-31b5-482a-8af5-a64176f63823, 63e27dc7-8a48-40b7-8daa-fb215c03b5e8, b73a040e-8ab1-4fa9-88ee-90108b7ba4fb, 22ca08b8-d333-480f-bc78-b9c0a66adff0, 7f60fc28-060a-466a-9914-1ffd4d6bf228, 26a39868-99b6-4663-9445-0dd8791addd0, 41746ef9-4577-4f29-ab89-78a8c9871396, 5bbdae4f-1230-4144-9035-7e1fa7c622fb, e8ce5e69-d85a-4499-9214-d911c0206ea6, fa3e76a0-a55e-4e28-b63b-226cbbf2c492, db826548-6d74-4ede-805e-b686048d34ac, d06e5ecc-0fcc-4456-bae3-ab2b1f7a9295, 26e2cb42-4df4-4271-9187-2060e7339663, 0bceca1a-30da-413f-aa67-e764b61ec6ed, 48b8d4e0-fdb6-4987-ac86-57a3420d65e7, 4303cf19-1135-4b27-8648-1979f8adca0a, bcca7bdc-562f-4f09-981b-72b490f139f8, 07218a5f-b702-45ca-9df5-61084ff38582, c8070e1f-5d64-4dac-bbfd-0ad8cc93c3cc, 71b2928d-a775-4f0a-8ed3-ac9eb0ff6644, 275d0932-8398-49c3-ab3b-d294ae646f19, fd54d993-18c4-4a48-b9a1-ab1e1089e15f, 92bf7051-6633-4c13-864d-e45b70e4006a, befedeca-cf49-46cc-a406-2686590bcd43, 7b047fa0-b940-4d9d-a7c0-1707c11fe788, 277e32b2-9ae7-4931-a71d-2c8c883222ce, 2a03db78-3bb0-4dc4-9c85-fdc68e5b0b24, c7669dc7-9a9c-47a0-9e26-1b01809896a5, 457a3d3e-1834-4502-9b77-224c021c9baa, 0cb93240-55e1-4657-a214-76054428632b, b8840a40-2450-47c9-ad94-43ecbf3a8501, 74527a49-bfb8-4729-82f1-0ee8218d550f, 1eb3f200-c362-426f-8f8c-e9b0ef8baa4d, 21444ee2-74ed-44f3-9060-b9ded900d177, f5fd747e-3045-45a6-9dd2-b8890172308b, e9694863-d823-479d-a401-0222e9b76641, 4e590546-3904-440f-9e8b-7c434ff0966e, eb940528-ab28-4fc9-a8ac-aec0d0c75f42, bb383451-9d0b-40dd-b144-8c96f6acf58f, be39e832-2314-4edb-8534-e3f3d6465a88, b32113fe-9173-4f67-9a84-0b1dacf6a87e, 3c4908fc-1887-45c4-9581-5a7b5dbeb39b, b2b487c0-1fc6-4d92-9ba5-ecc844f89ac8, 1ed21b79-19fe-4d83-ae63-aa4da458d771, 52c06a0a-1162-40be-869a-f86f94afaebf;3204;BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG;Pengadaan Bahan Pelatihan Vokasi UPTP RM (60 Paket);01JRS73EC81MM9JM6Z4608CME9;APBN;Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ;0;2026;COMPLETED;DL.4057.SCO.003.051.0B.521211, DL.4057.SCO.003.052.0A.521211, DL.4057.SCO.003.052.0C.521211;197586105;26434127;2026-03-16T00:00:00Z;108;426531;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
ON_PROCESS;01KW0R3XS8KWBBMSZKXDRM1TAB;67364613;Tidak;71c76d66-f086-46ee-a0d4-ab70c40c6e45;11456;BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS BANDUNG;Konsumsi Peserta Pelatihan Vokasi Nasional (UPTD);01J8QJDE31QWHQ6G14Z67Z28D5;APBN;Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ;0;2026;DRAFT;DL.4057.SCO.010.055.0A.521211, DL.4057.SCO.010.056.0A.521211, DL.4057.SCO.010.058.0A.521211, DL.4057.SCO.010.061.0A.521211, DL.4057.SCO.010.062.0A.521211, DL.4057.SCO.010.063.0A.521211, DL.4057.SCO.010.064.0A.521211, DL.4057.SCO.010.068.0A.521211;226828800;0;2026-06-26T00:00:00Z;1;452542;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
PAYMENT_OUTSIDE_SYSTEM;01KKJTPYADN8MGQV0B7XKSY3JW;66456574;Tidak;fff5c51a-9344-4e8c-a542-9252d1ddd16f;208;BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANDA ACEH;Pakaian Kerja PBK Teknisi dan Reguler Bidang TIK, Industri dan Jasa, Infrastruktur,  Pariwisata dan Industri Kreatif,  Pertanian dan Perikanan.;01JCTMQA7CXPF96TWY5F54W8C9;APBN;;0;2026;DELIVERED;DL.4057.SCO.003.054.0A.521211, DL.4057.SCO.004.052.0A.521211, DL.4057.SCO.004.054.0A.521211, DL.4057.SCO.005.052.0A.521211, DL.4057.SCO.005.054.0A.521211, DL.4057.SCO.006.052.0A.521211, DL.4057.SCO.006.054.0A.521211, DL.4057.SCO.007.054.0A.521211;35360000;4333020;2026-03-25T00:00:00Z;1;065106;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
ON_PROCESS;01KQ6B6NF8W60429F39FJX561K;66185581;Tidak;4fc8a94a-084b-4485-9b05-996516c110af;8;DITJEN. PEMBINAAN PENGAWASAN KETENAGAKERJAAN DAN K3;Belanja Sewa, PERAWATAN PEMELIHARAAN KENDARAAN RODA 4 DAN SEWA KENDARAAN PIMPINAN;01JP9PV4XPVXXTVPBPR4WJWBDT;APBN;Dukungan Manajemen Ditjen Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja, ;0;2026;DRAFT;WA.6622.EBA.994.002.KD.522141;105999672;0;2026-04-30T00:00:00Z;1;651870;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.W2Beh5njwEZ6UUkn.Ry9mzOWyY19CvUiPTs-3fLrcUCpx9tNPCexbcj3D2TE
