nama_satker,nilai_pdn_pct,tgl_mulai_paket,nip_ppk,hps,kd_satker,status_nontender_pct_ket,uraian_pekerjaan,kd_klpd,status_nontender_pct,tgl_buat_paket,nama_klpd,pagu,kd_rup,nama_paket,mtd_pemilihan,informasi_lainnya,kd_pkt_dce,sumber_dana,jenis_klpd,nilai_umk_pct,bukti_pembayaran,kategori_pengadaan,tahun_anggaran,alasan_pembatalan,kd_lpse,tgl_selesai_paket,total_realisasi,kd_satker_str,nama_ppk,kd_nontender_pct,last_update_ref
SEKRETARIAT JENDERAL KEMNAKER,0,2026-08-26T15:42:56.233Z,***************002,0,134194,Paket Sedang Berjalan,<p>Pemeliharaan Printer PBJ</p>,K34,Aktif,2026-08-11T09:33:18.431000Z,Kementerian Ketenagakerjaan,9315000,63917774,Operasional PBJ - Pemeliharaan Printer PBJ,Pengadaan Langsung,,11974674000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,3605000,450938,"A**** H**********, S.S, M.S*.",11028989000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,11406300,2026-04-01T14:50:41.448Z,***************006,0,9878194,Paket Selesai,<p>Pekerjaan pemeliharaan perbaikan atap dan dak serta perbaikan plafond</p>,K34,Aktif,2026-04-01T14:30:20.446000Z,Kementerian Ketenagakerjaan,129844400,66405903,Belanja Pemeliharaan Gedung dan Bangunan,Pengadaan Langsung,,11635346000,APBN,KEMENTERIAN,11406300,NonSPK,Pekerjaan Konstruksi,2026,,194,2026-03-04T00:00:00Z,11406300,452542,C********* D*** R********,10867035000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Belitung,4724000,2026-07-07T14:35:24.214Z,***************001,0,336194,Paket Selesai,"<p>Pengadaan Modul Sebanyak 3 (Tiga) Paket Pelatihan Non Boarding PBK BPVP Belitung di UPTD BLK Disnaker Prov Babel<br></p>                    
                ",K34,Aktif,2026-07-07T13:36:51.842000Z,Kementerian Ketenagakerjaan,8000000,64774668,"Pengadaan Modul Sebanyak 3 Paket Pelatihan Non Boarding PBK BPVP Belitung di UPTD BLK Disnaker Prov, Kep. Babel",Pengadaan Langsung,,11871006000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-06-22T00:00:00Z,4724000,352631,L***** F*****,10979686000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,279500,2026-03-06T08:31:43.967Z,***************006,0,9878194,Paket Dibatalkan,<p>Pembeliaan Air Mineral Merk Cleo Botol 220MLx24 K</p>,K34,Ditutup,2026-03-06T08:21:45.971000Z,Kementerian Ketenagakerjaan,244538000,66199387,Kebutuhan Dasar Perkantoran di Dalam Negeri (Jawa Barat),Pengadaan Langsung,,11604185000,APBN,KEMENTERIAN,279500,NonSPK,Pengadaan Barang,2026,Terlewat Upload Bukti Transaksi,194,2026-02-12T00:00:00Z,279500,452542,C********* D*** R********,10851964000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-08-13T15:45:39.967Z,***************002,0,134194,Paket Selesai,"<p>Biaya Langganan Aplikasi Canva dalam rangka kegiatan Operasional Kantor di Bagian Layanan Pengadaan</p>                    
                ",K34,Aktif,2026-08-13T15:11:29.261000Z,Kementerian Ketenagakerjaan,775000,63915851,Operasional PBJ - Langganan Canva PBJ,Dikecualikan,,11984705000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-06-14T00:00:00Z,769000,450938,"A**** H**********, S.S, M.S*.",11033933000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-01T11:17:01.407Z,***************012,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-25T14:30:09.944000Z,Kementerian Ketenagakerjaan,7452000,66113845,Pemeliharaan Laptop (PAL),Pengadaan Langsung,,12007208000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,1640000,450938,L***** F******,11042622000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-10T07:47:09.826Z,***************001,0,4247194,Paket Dibatalkan,,K34,Ditutup,2026-08-10T07:43:46.434000Z,Kementerian Ketenagakerjaan,330000000,67380766,Bahan Pelatihan Green Job 40 JP,Pengadaan Langsung,,11970293000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,belum diisi nilai realisais dan penyedia,194,2026-04-17T00:00:00Z,,021212,A*** S***** M******,11027009000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-04T15:12:55.867Z,***************002,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-21T13:22:12.168000Z,Kementerian Ketenagakerjaan,20000000,65929191,[TU Menteri dan Wakil Menteri] Belanja Barang Persediaan Barang Konsumsi-Cetak Amplop Surat Menteri,Pengadaan Langsung,,12001459000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-12-31T00:00:00Z,3600000,450938,"A**** H**********, S.S, M.S*.",11040657000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Belitung,14160000,2026-07-07T13:35:30.485Z,***************001,0,336194,Paket Dibatalkan,<p>Pengadaan Pakaian Kerja Sebanyak 3 (Tiga) Paket Pelatihan Non Boarding PBK BPVP Belitung di UPTD BLK Disnaker Prov Babel </p>,K34,Ditutup,2026-07-07T13:18:50.483000Z,Kementerian Ketenagakerjaan,24000000,64773985,Pengadaan Pakaian Kerja Sebanyak 5 (Lima) Paket Pelatihan Non Boarding PBK BPVP Belitung di UPTD BLK Disnaker Prov. Kep. Babel,Pengadaan Langsung,,11870861000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,Kesalahan menulis jumlah paket,194,2026-06-18T00:00:00Z,14160000,352631,L***** F*****,10979607000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-10T11:42:04.253Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-10T11:36:39.720000Z,Kementerian Ketenagakerjaan,64000000,67374934,Konsumsi Pelatihan TMT_RM,Pengadaan Langsung,,11971908000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-11T00:00:00Z,10188800,021212,A*** S***** M******,11027864000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
