kd_kegiatan,asal_dana,mak,tahun_anggaran,kd_satker_str,status_umumkan_rup,asal_dana_satker,id_paket_anggaran_swakelola,jenis_dana_apbn,pagu,sumber_dana,jenis_klpd,nama_klpd,status_delete_rup,kd_satker,kd_rup_lokal,nama_satker,tahun_anggaran_dana,kd_komponen,kd_subkegiatan,status_aktif_rup,kd_klpd,kd_rup,asal_dana_klpd,last_update_ref
13834096,K34,DL.4057.SCO.037.053.0B.521115,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593906482,RUPIAH MURNI,6940000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299585,,true,K34,43131352,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13834096,K34,DL.4057.SCO.027.063.0A.526312,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593916044,RUPIAH MURNI,47680000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299573,,true,K34,43132501,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13834096,K34,DL.4057.SCO.026.058.0B.521115,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593928342,RUPIAH MURNI,3470000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299576,,true,K34,43133985,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.054.0A.522151,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600991840,PNBP,5800000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407688,,true,K34,43532299,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.057.0A.521213,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600994374,PNBP,5800000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407682,,true,K34,43532440,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.056.O5.265263,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600994298,PNBP,55680000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407685,,true,K34,43532433,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.053.0A.522151,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600957723,PNBP,11200000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407687,,true,K34,43531308,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.055.0A.521213,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600992117,PNBP,4350000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407683,,true,K34,43532311,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.056.0A.522151,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600994245,PNBP,11200000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407685,,true,K34,43532429,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.054.O5.265263,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600991716,PNBP,50560000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407688,,true,K34,43532293,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
