Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KKTR0NFWREBKNBF7E2KXY7S6,66185950,2026,E-Katalog 6.0,APBN,MULIA JAYA ABADI,E-Purchasing,Barang,Belanja Bahan TMT Klaster,COMPLETED,26179350,26179350
KEMENTERIAN KETENAGAKERJAAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANDA ACEH - 065106,01KKJTPYADN8MGQV0B7XKSY3JW,66456574,2026,E-Katalog 6.0,APBN,AGUNG DUTA REZEKI,E-Purchasing,Barang,"Pakaian Kerja PBK Teknisi dan Reguler Bidang TIK, Industri dan Jasa, Infrastruktur,  Pariwisata dan Industri Kreatif,  Pertanian dan Perikanan.",PAYMENT OUTSIDE SYSTEM,35360000,35360000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KPQKKQFF229AK6PGD1AETAGH,63091859,2026,E-Katalog 6.0,APBN,TFD GAPOPINDO INVESTAMA,E-Purchasing,Barang,Pengadaan Bahan Sertifikasi Lulusan (231 Paket),COMPLETED,23013630,23013630
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KJS3T03FHW8QH5RJ1YTSG39R,66185882,2026,E-Katalog 6.0,APBN,TRI MUKTI PERKASA,E-Purchasing,Barang,Belanja Bahan Project Based Learning A,COMPLETED,66192075,66192075
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KQ96M7GGXWHTEC1CFD8DTTGR,66185662,2026,E-Katalog 6.0,APBN,TRI MUKTI PERKASA,E-Purchasing,Barang,Belanja Bahan Pelaksanaan Sertifikasi Lulusan Pelatihan Vokasi (PNP),COMPLETED,11590065,11590065
KEMENTERIAN KETENAGAKERJAAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS LOMBOK TIMUR - 230302,01KN17G81RPM2RX8YS8MR8938J,63392136,2026,E-Katalog 6.0,APBN,ALEA,E-Purchasing,Barang,Pakaian Kerja,PAYMENT OUTSIDE SYSTEM,77256000,77256000
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KPDNR1R1TZAVC4FBT1RY8EPH,66124022,2026,E-Katalog 6.0,APBN,SURYA GEMILANG TERANG,E-Purchasing,Jasa Lainnya,"Fullboard Moderator, Panitia Penyelenggara dan Peserta",COMPLETED,51060000,51060000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KMS820K4J8GK37ZE0GB0RVA8,66344371,2026,E-Katalog 6.0,APBN,DAPOER RASA ALIFIYA,E-Purchasing,Jasa Lainnya,Pengadaan Jasa Konsumsi Peserta Pelatihan (90 Paket),PAYMENT OUTSIDE SYSTEM,162201600,162201600
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KKDC1VR6HP7BH7PJ106MNKCW,66342568,2026,E-Katalog 6.0,APBN,ULTIMA ABDI SEJAHTERA,E-Purchasing,Barang,Pengadaan Bahan Pelatihan Vokasi UPTP RM (60 Paket),COMPLETED,17947035,17947035
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KKB1BJF0CY0Y6517NB9N39EP,66262515,2026,E-Katalog 6.0,APBN,TRIKARYA IDEA SAKTI,E-Purchasing,Jasa Lainnya,Paket Meeting Fullboard Peserta dan Panitia,COMPLETED,106920000,106920000
