kd_metode_pengadaan;spesifikasi_pekerjaan;tahun_anggaran;status_delete_rup;tgl_awal_kontrak;metode_pengadaan;urarian_pekerjaan;tgl_akhir_pemilihan;status_pradipa;tgl_akhir_pemanfaatan;spp_aspek_ekonomi;tgl_awal_pemilihan;status_ukm;spp_aspek_lingkungan;tgl_akhir_kontrak;volume_pekerjaan;kd_rup;tgl_awal_pemanfaatan;tgl_pengumuman_paket;nama_satker;kd_jenis_pengadaan;jenis_klpd;kd_satker_str;nip_ppk;status_dikecualikan;spp_aspek_sosial;username_ppk;nama_paket;nama_ppk;kd_satker;nama_klpd;status_pdn;status_aktif_rup;kd_klpd;status_konsolidasi;status_umumkan_rup;tgl_buat_paket;tipe_paket;jenis_pengadaan;pagu;last_update_ref;alasan_non_ukm;kd_rup_swakelola;nomor_kontrak;kode_rup_tahun_pertama;tahun_pertama;alasan_dikecualikan;kd_rup_lokal
8;Spesifikasi sesuai dengan Dokumen Persiapan Pengadaan;2026;FALSE;2026-03-01;Pengadaan Langsung;"Pengadaan Bahan Pelatihan TMT - RM Non Batch BPVP Belitung ( 5, PKT, @ 12000000 ); 
";2026-03-01;Non-PraDIPA;2026-05-01;TRUE;2026-03-01;UKM;TRUE;2026-03-01T00:00:00Z;( 5, PKT, @ 12000000 );65598950;2026-03-01;2026-03-12T16:42:51.29Z;Balai Pelatihan Vokasi dan Produktivitas Belitung;1;KEMENTERIAN;352631;***************006;FALSE;TRUE;********************704;Pengadaan Bahan Pelatihan TMT - RM Non Batch BPVP Belitung;M. A**** Z****;162854;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-09T00:00:00Z;Penyedia;Barang;60000000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
8;Pelatihan PKA;2026;FALSE;2026-03-01;Pengadaan Langsung;Pelatihan PKA;2026-03-01;Non-PraDIPA;2026-12-01;FALSE;2026-03-01;UKM;FALSE;2026-03-01T00:00:00Z;90 OK;62895549;2026-03-01;2026-02-23T15:20:53.258Z;Pusat Pengembangan SDM Ketenagakerjaan;1;KEMENTERIAN;450990;***************001;FALSE;FALSE;******************194;Biaya Konsumsi Rapat Diklat - Pelatihan PKA;H*** A********,S.P.,M.S*.;14060;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-01-06T00:00:00Z;Penyedia;Barang;6930000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
8;sesuai dengan ketentuan;2026;FALSE;2026-01-01;Pengadaan Langsung;"1.  Sewa ruang pertemuan di kawasan industri (Dalam dan Diluar Jabodetabek) ( 10, OT, @ 10000000 ); 
";2026-01-01;Non-PraDIPA;2026-12-01;TRUE;2026-01-01;UKM;TRUE;2026-12-01T00:00:00Z;1 Paket;63925122;2026-01-01;2026-02-27T13:27:24.32Z;Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja;4;KEMENTERIAN;451139;***************002;FALSE;TRUE;************************985;Belanja Sewa Ruang Pertemuan di Kawasan Industri Temu Mitra Dalam Rangka Penempatan TKPD ;A************* T. M******;14069;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-02-24T00:00:00Z;Penyedia;Jasa Lainnya;100000000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
8;"1. Komputer Supply ( 2, PKT, @ 1500000 ); 
";2026;FALSE;2026-01-01;Pengadaan Langsung;"1. Komputer Supply ( 2, PKT, @ 1500000 ); 
";2026-01-01;Non-PraDIPA;2026-12-01;TRUE;2026-01-01;UKM;TRUE;2026-12-01T00:00:00Z;( 2, PKT, @ 1500000 );65593910;2026-01-01;2026-02-18T14:15:28.897Z;Balai Perluasan Kesempatan Kerja Bekasi;1;KEMENTERIAN;690634;***************003;FALSE;TRUE;******************194;Komputer Supply;Y***** P******;164530;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-02-13T00:00:00Z;Penyedia;Barang;3000000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
9;"Konsumsi Pembukaan Penutupan ( 600, OP,  ); ";2026;FALSE;2026-04-01;E-Purchasing;"1. Konsumsi Pembukaan Penutupan ( 600, OP,  ); 
";2026-04-01;Non-PraDIPA;2026-12-01;FALSE;2026-04-01;UKM;FALSE;2026-12-01T00:00:00Z;( 600, OP,  );66403260;2026-04-01;2026-03-11T14:03:12.399Z;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;1;KEMENTERIAN;452652;***************003;FALSE;FALSE;*****194;Konsumsi Pembukaan Penutupan TMT (RM);Y*** S******;14123;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-11T00:00:00Z;Penyedia;Barang;12000000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
9;Sesuai dengan Spesifikasi Teknis;2026;FALSE;2026-02-01;E-Purchasing;Honorarium Tenaga Alihdaya (Outsourcing) Operator Media Sosial;2026-02-01;Non-PraDIPA;2026-04-01;FALSE;2026-02-01;Non-UKM;FALSE;2026-04-01T00:00:00Z;1 Paket;65397543;2026-02-01;2026-02-11T11:05:13.422Z;Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas;4;KEMENTERIAN;451026;***************002;FALSE;FALSE;**********194;Pengadaan Jasa Tenaga Alihdaya (Outsourcing) Operator Media Sosial Gedung Vokasi Kemnaker RI;J**** P******;177670;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-02-10T00:00:00Z;Penyedia;Jasa Lainnya;30000000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;Kompetensi tidak sesuai dengan usaha kecil;;;;;;
8;Komputer suplies Dit. Bina Produktivitas;2026;FALSE;2026-04-01;Pengadaan Langsung;"1. Komputer suplies ( 24, bln, @ 3000000 ); 
";2026-04-01;Non-PraDIPA;2026-12-01;TRUE;2026-02-01;UKM;TRUE;2026-12-01T00:00:00Z;( 24, bln, @ 3000000 );62341644;2026-04-01;2026-03-10T12:10:36.189Z;Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas;1;KEMENTERIAN;451026;***************002;FALSE;TRUE;**********194;Komputer suplies Dit. Bina Produktivitas;J**** P******;177670;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-10T00:00:00Z;Penyedia;Barang;72000000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
9;"1. Pakaian Kerja ( 48, OP,  ); 
";2026;FALSE;2026-02-01;E-Purchasing;"1. Pakaian Kerja ( 48, OP,  ); 
";2026-02-01;Non-PraDIPA;2026-12-01;FALSE;2026-02-01;UKM;FALSE;2026-12-01T00:00:00Z;( 48, OP,   );63389283;2026-02-01;2026-03-04T14:11:48.868Z;Balai Pelatihan Vokasi dan Produktivitas Lombok Timur;1;KEMENTERIAN;230302;***************001;FALSE;FALSE;*************194;Pakaian Kerja;R*** N*** C******;94650;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-01-15T00:00:00Z;Penyedia;Barang;9600000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
8;PBK UPTD Tukoi Lau Berupa Pakaian Praktik;2026;FALSE;2026-03-01;Pengadaan Langsung;PBK UPTD Tukoi Lau Berupa Pakaian Praktik;2026-03-01;Non-PraDIPA;2026-12-01;FALSE;2026-03-01;UKM;FALSE;2026-12-01T00:00:00Z;1;66184386;2026-04-01;2026-03-10T20:06:56.339Z;Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi;1;KEMENTERIAN;452558;***************001;FALSE;FALSE;*************859;PBK UPTD Tukoi Lau Berupa Pakaian Praktik;Y*** M******;14111;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-04T00:00:00Z;Penyedia;Barang;9600000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
8;terlampir;2026;FALSE;2026-01-01;Pengadaan Langsung;"1. Telepon ( 12, BLN, @ 8000000 ); 
";2026-01-01;Non-PraDIPA;2026-12-01;FALSE;2026-01-01;UKM;FALSE;2026-01-01T00:00:00Z;( 12, BLN, @ 8000000 );62167236;2026-01-01;2026-03-03T07:56:26.274Z;Balai Pelatihan Vokasi dan Produktivitas Bantaeng;4;KEMENTERIAN;191206;***************001;FALSE;FALSE;*********194;Telepon;A*** J***** S******;95119;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2025-12-30T00:00:00Z;Penyedia;Jasa Lainnya;96000000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
9;"1. Surveillance Audit ISO/IEC 27001:2022 ( 1, PKT, @ 75000000 ); ";2026;FALSE;2026-01-01;E-Purchasing;"1. Surveillance Audit ISO/IEC 27001:2022 ( 1, PKT, @ 75000000 ); 
";2026-01-01;Non-PraDIPA;2026-12-01;FALSE;2026-01-01;UKM;FALSE;2026-12-01T00:00:00Z;( 1, PKT, @ 75000000 );63824704;2026-01-01;2026-02-26T14:14:09.022Z;Badan Perencanaan dan Pengembangan Ketenagakerjaan;4;KEMENTERIAN;452677;***************004;FALSE;FALSE;********************460;Surveillance Audit ISO/IEC 27001:2022;F*********;14096;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-01-20T00:00:00Z;Penyedia;Jasa Lainnya;75000000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
8;terlampir;2026;FALSE;2026-03-01;Pengadaan Langsung;"1. Bahasa Inggris 340 JP ( 1, PKT, @ 10000000 ); 
";2026-03-01;Non-PraDIPA;2026-05-01;FALSE;2026-02-01;UKM;FALSE;2026-03-01T00:00:00Z;( 1, PKT, @ 10000000 );62165650;2026-03-01;2026-03-03T07:36:37.74Z;Balai Pelatihan Vokasi dan Produktivitas Bantaeng;1;KEMENTERIAN;191206;***************001;FALSE;FALSE;*********194;Bahasa Inggris 340 JP;A*** J***** S******;95119;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2025-12-30T00:00:00Z;Penyedia;Barang;10000000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
8;"1. Modul ( 96, PKT, @ 100000 );";2026;FALSE;2026-01-01;Pengadaan Langsung;"1. Modul ( 96, PKT, @ 100000 );";2026-01-01;Non-PraDIPA;2026-12-01;FALSE;2026-01-01;UKM;FALSE;2026-12-01T00:00:00Z;( 96, PKT, @ 100000 );66180992;2026-01-01;2026-03-06T14:32:54.64Z;Balai Pelatihan Vokasi dan Produktivitas Sidoarjo;1;KEMENTERIAN;050302;***************002;FALSE;FALSE;************194;Modul;N* P*** P********* J****, S*, M*;152933;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-04T00:00:00Z;Penyedia;Barang;9600000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
8;"1. Komputer Supplies ( 2, PKT, @ 1500000 ); ";2026;FALSE;2026-01-01;Pengadaan Langsung;"1. Komputer Supplies ( 2, PKT, @ 1500000 ); 
";2026-01-01;Non-PraDIPA;2026-12-01;FALSE;2026-01-01;UKM;FALSE;2026-12-01T00:00:00Z;( 2, PKT, @ 1500000 );66128291;2026-01-01;2026-03-06T14:31:33.104Z;Balai Pelatihan Vokasi dan Produktivitas Sidoarjo;1;KEMENTERIAN;050302;***************002;FALSE;FALSE;************194;Komputer Supplies;N* P*** P********* J****, S*, M*;152933;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-05T00:00:00Z;Penyedia;Barang;3000000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
8;Sesuai KAK;2026;FALSE;2026-02-01;Pengadaan Langsung;"Pengadaan Konsumsi Rapat Koordinasi Penyusunan Standar Biaya Keluaran Khusus 2027
";2026-01-01;Non-PraDIPA;2026-12-01;TRUE;2026-01-01;UKM;TRUE;2026-12-01T00:00:00Z;( 11, OK, @ 81000 );62949906;2026-02-01;2026-03-17T23:32:46.629Z;Sekretariat Jenderal;1;KEMENTERIAN;450938;***************004;FALSE;TRUE;*****************194;Pengadaan Konsumsi Rapat Koordinasi Penyusunan Standar Biaya Keluaran Khusus 2027;M** Z***** A*****;14054;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-17T00:00:00Z;Penyedia;Barang;891000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
8;"1. Biaya DOI Per Artikel ( 12, ARTKL, @ 20000 ); 
";2026;FALSE;2026-01-01;Pengadaan Langsung;"1. Biaya DOI Per Artikel ( 12, ARTKL, @ 20000 ); 
";2026-01-01;Non-PraDIPA;2026-12-01;FALSE;2026-01-01;UKM;FALSE;2026-12-01T00:00:00Z;( 12, ARTKL, @ 20000 );63957279;2026-01-01;2026-03-04T08:17:02.192Z;Politeknik Ketenagakerjaan;4;KEMENTERIAN;352632;***************003;FALSE;FALSE;*************194;Biaya DOI Per Artikel (Penyusunan Buletin/Jurnal/Profil Politeknik Ketenagakerjaan);D*** Y**** K*********, S.S**., M.E.;171546;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-01-21T00:00:00Z;Penyedia;Jasa Lainnya;240000;af158957-bf91-5793-9b5e-9a5712fdf4de.Nf8BghKR3o_dp0Kb.Ta9GZClETq6QFwnH9Ul5f0jI0OQAJGBO-leLr2tJQts;;;;;;;
