kd_satker_str;kd_subkegiatan;tahun_anggaran;asal_dana_klpd;kd_komponen;kd_satker;kd_rup_lokal;status_delete_rup;mak;tahun_anggaran_dana;jenis_klpd;kd_klpd;kd_rup;pagu;asal_dana_satker;kd_kegiatan;status_umumkan_rup;nama_satker;sumber_dana;asal_dana;id_paket_anggaran_swakelola;nama_klpd;jenis_dana_apbn;status_aktif_rup;last_update_ref
051102;;2026;Kementerian Ketenagakerjaan;5407682;152210;;FALSE;DL.4057.SCO.030.057.0A.521213;2026;KEMENTERIAN;K34;43532440;5800000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600994374;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407685;152210;;FALSE;DL.4057.SCO.030.056.O5.265263;2026;KEMENTERIAN;K34;43532433;55680000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600994298;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407687;152210;;FALSE;DL.4057.SCO.030.053.0A.522151;2026;KEMENTERIAN;K34;43531308;11200000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600957723;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407683;152210;;FALSE;DL.4057.SCO.030.055.0A.521213;2026;KEMENTERIAN;K34;43532311;4350000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600992117;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407685;152210;;FALSE;DL.4057.SCO.030.056.0A.522151;2026;KEMENTERIAN;K34;43532429;11200000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600994245;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407688;152210;;FALSE;DL.4057.SCO.030.054.O5.265263;2026;KEMENTERIAN;K34;43532293;50560000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600991716;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407685;152210;;FALSE;DL.4057.SCO.030.056.0A.521213;2026;KEMENTERIAN;K34;43532435;5800000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600994325;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407682;152210;;FALSE;DL.4057.SCO.030.057.0A.522151;2026;KEMENTERIAN;K34;43532444;6400000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600994413;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407683;152210;;FALSE;DL.4057.SCO.030.055.O5.265263;2026;KEMENTERIAN;K34;43532308;14720000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600992062;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
259322;;2026;Kementerian Ketenagakerjaan;5281619;14075;;FALSE;DN.2175.BDC.006.051.0b.522131;2026;KEMENTERIAN;K34;42916287;638220000;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;13767529;Terumumkan;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;APBN;K34;591353069;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407684;152210;;FALSE;DL.4057.SCO.030.051.0A.522151;2026;KEMENTERIAN;K34;43531316;6400000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600957839;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
259322;;2026;Kementerian Ketenagakerjaan;5281619;14075;;FALSE;DN.2175.BDC.006.051.0b.522131;2026;KEMENTERIAN;K34;42916134;638220000;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;13767529;Terumumkan;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;APBN;K34;591352347;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407687;152210;;FALSE;DL.4057.SCO.030.053.O5.265263;2026;KEMENTERIAN;K34;43531310;53760000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600957771;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
626041;;2026;Kementerian Ketenagakerjaan;5224494;179088;;FALSE;DN.2175.QEA.002.051.0A.526312;2026;KEMENTERIAN;K34;42092596;17500000000;Direktorat Bina Perluasan Kesempatan Kerja;13666446;Terumumkan;Direktorat Bina Perluasan Kesempatan Kerja;APBN;K34;582858215;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407687;152210;;FALSE;DL.4057.SCO.030.053.0A.521213;2026;KEMENTERIAN;K34;43531303;5800000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600957660;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407686;152210;;FALSE;DL.4057.SCO.030.052.O5.265263;2026;KEMENTERIAN;K34;43531416;42880000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600958770;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407688;152210;;FALSE;DL.4057.SCO.030.054.0A.522151;2026;KEMENTERIAN;K34;43532288;11200000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600991665;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407684;152210;;FALSE;DL.4057.SCO.030.051.O5.265263;2026;KEMENTERIAN;K34;43531321;21120000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600957864;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.jwcTkDr23WQi88iP.OPWsSsUzauyD2sF3g-2ogoflZQCow2ujHs2xhSi0MWs
