id_paket_anggaran_penyedia;kd_klpd;kd_satker_str;sumber_dana;tahun_anggaran_dana;status_delete_rup;status_aktif_rup;status_umumkan_rup;mak;pagu;kd_kegiatan;kd_rup;kd_komponen;nama_satker;asal_dana;jenis_klpd;asal_dana_satker;jenis_dana_apbn;kd_satker;nama_klpd;asal_dana_klpd;tahun_anggaran;last_update_ref;kd_rup_lokal;kd_subkegiatan
593750960;K34;426531;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.003.053.0B.521211;164210000;13622795;66342987;5172965;Balai Besar Pelatihan Vokasi dan Produktivitas Serang;K34;KEMENTERIAN;Balai Besar Pelatihan Vokasi dan Produktivitas Serang;RUPIAH MURNI;14130;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
593109576;K34;350082;APBN;2026;FALSE;TRUE;Terumumkan;WA.6622.EBA.994.002.0A.522112;199800000;13931429;66238193;5337730;Balai Keselamatan dan Kesehatan Kerja Makassar;K34;KEMENTERIAN;Balai Keselamatan dan Kesehatan Kerja Makassar;RUPIAH MURNI;94797;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
591530134;K34;452558;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.005.052.XB.521211;73200000;13584917;65913692;5103308;Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi;K34;KEMENTERIAN;Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi;PNBP;14111;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
589763562;K34;450938;APBN;2026;FALSE;TRUE;Terumumkan;WA.2158.EBA.994.002.0Y.523111;45000000;13599601;65502514;5136480;Sekretariat Jenderal;K34;KEMENTERIAN;Sekretariat Jenderal;RUPIAH MURNI;14054;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
581577285;K34;651870;APBN;2026;FALSE;TRUE;Terumumkan;WA.6622.EBA.994.002.AA.522141;105760000;13588367;63423024;5112676;Ditjen Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja;K34;KEMENTERIAN;Ditjen Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja;RUPIAH MURNI;14095;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
593437207;K34;219228;APBN;2026;FALSE;TRUE;Terumumkan;WA.6988.EBA.994.002.0A.523111;32602000;13818129;66282488;5295897;Balai Pelatihan Vokasi dan Produktivitas Ambon;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Ambon;RUPIAH MURNI;82643;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
582311079;K34;452542;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.005.052.0A.521211;26242000;13663270;63632998;5219573;Balai Besar Pelatihan Vokasi dan Produktivitas Bandung;K34;KEMENTERIAN;Balai Besar Pelatihan Vokasi dan Produktivitas Bandung;PNBP;14110;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
576563996;K34;191206;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.005.052.0A.521211;36000000;13599144;62165770;5135826;Balai Pelatihan Vokasi dan Produktivitas Bantaeng;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Bantaeng;PNBP;95119;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
582188800;K34;065106;APBN;2026;FALSE;TRUE;Terumumkan;DL.4059.BDB.001.051.0C.521211;250000;13683444;63598630;5248392;Balai Pelatihan Vokasi dan Produktivitas Banda Aceh;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Banda Aceh;PNBP;14116;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
593983296;K34;452652;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.003.052.0B.521211;110080000;13834096;66400078;5299591;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;KEMENTERIAN;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;RUPIAH MURNI;14123;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
